release_year,genre,region,sales
1988,Sports,Japan,1.86
1989,Action,Japan,0.31
1989,Misc,Japan,1.28
1989,Platform,Japan,4.97
1989,Puzzle,Japan,6.77
1989,Role-Playing,Japan,2.2
1989,Shooter,Japan,0.36
1989,Sports,Japan,2.47
1990,Action,Japan,1.01
1990,Platform,Japan,4.28
1990,Puzzle,Japan,1.93
1990,Racing,Japan,1.48
1990,Role-Playing,Japan,4.42
1990,Simulation,Japan,0.48
1990,Sports,Japan,1.28
1991,Action,Japan,2.06
1991,Adventure,Japan,1.04
1991,Fighting,Japan,0.39
1991,Misc,Japan,0.08
1991,Platform,Japan,1.9100000000000001
1991,Puzzle,Japan,2.11
1991,Racing,Japan,0.15
1991,Role-Playing,Japan,2.81
1991,Shooter,Japan,0.5
1991,Simulation,Japan,0.91
1991,Sports,Japan,1.8800000000000001
1991,Strategy,Japan,0.94
1992,Action,Japan,0.54
1992,Adventure,Japan,2.9699999999999998
1992,Fighting,Japan,5.75
1992,Misc,Japan,1.81
1992,Platform,Japan,2.79
1992,Puzzle,Japan,2.6799999999999997
1992,Racing,Japan,4.09
1992,Role-Playing,Japan,6.83
1992,Shooter,Japan,0.26
1992,Simulation,Japan,0.0
1992,Sports,Japan,0.9
1992,Strategy,Japan,0.29
1993,Action,Japan,0.92
1993,Adventure,Japan,0.07
1993,Fighting,Japan,6.11
1993,Misc,Japan,0.3
1993,Platform,Japan,5.21
1993,Puzzle,Japan,2.3899999999999997
1993,Racing,Japan,0.36
1993,Role-Playing,Japan,5.25
